# je kan met commentaarlijnen je data documenteren (eenheden, bron)
Year;x1;x2;x3;y;b
2009;1356.42;6304;5921.19;6098.96;9900.878
2010;1354;6188;6021.22;5936.79;9865.949
2011;1327;5761;5914.46;6522.25;9787.307
2012;1350.8;5834;5694.99;6126.85;9722.354
2013;1328;5790;5775.85;6043.41;9729.453
2014;1331.3;5684;5817.16;6392.46;9861.499
2015;1336.5;5712;5511.84;6305.28;9865.5
2016;1332;5535;5591.82;6530.46;9762.593
2017;1335.7;5428;5454.29;6574.54;9808.969
2018;1355.7;5400;5461.31;6673.94;9692.968
2019;1363.6;5335;5421.71;6681.16;9713.273